region,week,spend_usd
APAC,1,24412.2
APAC,2,24366.57
APAC,3,25153.42
APAC,4,24406.85
APAC,5,25211.46
APAC,6,25994.56
APAC,7,24748.5
APAC,8,24298.3
APAC,9,26243.84
APAC,10,25023.82
APAC,11,23977.27
APAC,12,23867.79
EMEA,1,21141.23
EMEA,2,22280.38
EMEA,3,22642.57
EMEA,4,21828.75
EMEA,5,21039.76
EMEA,6,21739.56
EMEA,7,23091.47
EMEA,8,22064.05
EMEA,9,23036.37
EMEA,10,22793.72
EMEA,11,20925.26
EMEA,12,22485.59
NA,1,30545.13
NA,2,30110.91
NA,3,29300.48
NA,4,30422.89
NA,5,28834.66
NA,6,29804.3
NA,7,29861.17
NA,8,31361.45
NA,9,31127.56
NA,10,29290.17
NA,11,42002.46
NA,12,40650.34
