region,week,week_start,revenue_usd,units_sold,avg_price_usd
APAC,1,2026-06-01,482676.99,2011,240
APAC,2,2026-06-08,470880.21,1962,240
APAC,3,2026-06-15,475680.56,1982,240
APAC,4,2026-06-22,474685.65,1978,240
APAC,5,2026-06-29,484540.25,2019,240
APAC,6,2026-07-06,483392.63,2014,240
APAC,7,2026-07-13,487529.85,2031,240
APAC,8,2026-07-20,500393.38,1967,254.4
APAC,9,2026-07-27,405768.76,1595,254.4
APAC,10,2026-08-03,369430.52,1452,254.4
APAC,11,2026-08-10,372274.55,1463,254.4
APAC,12,2026-08-17,376592.65,1480,254.4
EMEA,1,2026-06-01,402254.81,1547,260
EMEA,2,2026-06-08,405080.7,1558,260
EMEA,3,2026-06-15,412478.22,1586,260
EMEA,4,2026-06-22,410757.08,1580,260
EMEA,5,2026-06-29,405435.0,1559,260
EMEA,6,2026-07-06,411484.03,1583,260
EMEA,7,2026-07-13,415094.91,1597,260
EMEA,8,2026-07-20,401926.18,1546,260
EMEA,9,2026-07-27,415035.68,1596,260
EMEA,10,2026-08-03,413269.64,1589,260
EMEA,11,2026-08-10,407399.98,1567,260
EMEA,12,2026-08-17,404369.59,1555,260
NA,1,2026-06-01,570241.57,2281,250
NA,2,2026-06-08,556339.72,2225,250
NA,3,2026-06-15,550877.51,2204,250
NA,4,2026-06-22,550966.45,2204,250
NA,5,2026-06-29,567783.87,2271,250
NA,6,2026-07-06,562323.46,2249,250
NA,7,2026-07-13,566879.67,2268,250
NA,8,2026-07-20,565145.99,2261,250
NA,9,2026-07-27,560811.51,2243,250
NA,10,2026-08-03,570597.79,2282,250
NA,11,2026-08-10,557279.17,2229,250
NA,12,2026-08-17,561165.71,2245,250
APAC-South,9,2026-07-27,46211.61,196,235.77
APAC-South,10,2026-08-03,36412.4,158,230.46
APAC-South,11,2026-08-10,42553.79,179,237.73
APAC-South,12,2026-08-17,38168.51,160,238.55
